# ABAQUS Dynamic Analysis - Stress History at Element 1 Base
# Variable: SM2
time_s,SM2_Nm,sigma_bending_MPa
0.0000,0.0000,0.000000
0.0411,1224.8384,0.902496
0.0823,3970.0308,2.925232
0.1234,4514.9385,3.326735
0.1734,2848.8079,2.099083
0.2234,2733.6575,2.014237
0.2734,4293.1274,3.163298
0.3234,6184.8911,4.557204
0.3734,6924.4297,5.102117
0.4234,7077.5254,5.214922
0.4734,7577.0601,5.582993
0.5234,8738.8115,6.439005
0.5734,9947.7559,7.329789
0.6234,10459.7324,7.707028
0.6734,10202.2715,7.517324
0.7234,10309.9453,7.596661
0.7734,11177.3936,8.235821
0.8234,11573.9971,8.528050
0.8734,10813.2783,7.967531
0.9234,9631.3438,7.096648
0.9734,8993.6904,6.626807
1.0234,8861.6758,6.529535
1.0734,8500.9062,6.263709
1.1234,7397.9556,5.451024
1.1734,5966.9868,4.396646
1.2234,4781.4819,3.523132
1.2734,4012.5024,2.956526
1.3234,3440.0403,2.534720
1.3734,2733.7170,2.014280
1.4234,1921.3396,1.415698
1.4734,1379.6934,1.016597
1.5234,1037.7358,0.764633
1.5734,732.9233,0.540039
1.6234,695.7703,0.512663
1.6734,1074.0258,0.791373
1.7234,1666.3538,1.227817
1.7734,2458.2625,1.811318
1.8234,3447.7920,2.540431
1.8734,4270.5439,3.146658
1.9234,4933.5332,3.635168
1.9734,5978.0190,4.404774
2.0234,7373.1562,5.432751
2.0734,8872.3936,6.537432
2.1234,10533.6084,7.761462
2.1734,11892.6758,8.762862
2.2234,12673.9004,9.338490
2.2734,13518.6914,9.960956
2.3234,14273.0596,10.516796
2.3734,14385.9561,10.599982
2.4234,14655.9785,10.798942
2.4734,15584.3037,11.482958
2.5234,16175.2344,11.918373
2.5734,15747.9668,11.603550
2.6234,14682.4951,10.818480
2.6734,13701.8262,10.095895
2.7234,13093.8906,9.647951
2.7734,12637.8682,9.311941
2.8234,12274.6758,9.044330
2.8734,11722.7754,8.637674
2.9234,10459.1260,7.706581
2.9734,9182.3867,6.765844
3.0234,9003.8037,6.634259
3.0734,9380.9512,6.912152
3.1234,8936.4648,6.584641
3.1734,7586.4580,5.589918
3.2234,6706.2710,4.941371
3.2734,7149.4517,5.267919
3.3234,7890.0903,5.813643
3.3734,7667.7925,5.649848
3.4234,7043.7134,5.190008
3.4734,7289.2441,5.370922
3.5234,8266.6865,6.091130
3.5734,8878.9229,6.542243
3.6234,8945.7549,6.591487
3.6734,9454.4541,6.966311
3.7234,10819.4082,7.972048
3.7734,12037.2236,8.869369
3.8234,12214.3574,8.999886
3.8734,11907.4639,8.773758
3.9234,12073.7354,8.896272
3.9734,12735.6436,9.383984
4.0234,13353.8896,9.839526
4.0734,13556.0342,9.988472
4.1234,13466.9893,9.922861
4.1734,13617.9473,10.034091
4.2234,14083.0508,10.376792
4.2734,14366.1191,10.585365
4.3234,14337.0020,10.563911
4.3734,14210.0537,10.470372
4.4234,13789.4971,10.160494
4.4734,13008.0400,9.584694
4.5234,12604.9082,9.287655
4.5734,12837.9551,9.459370
4.6234,12703.0215,9.359948
4.6734,11690.5869,8.613957
4.7234,10755.7627,7.925152
4.7734,10578.0088,7.794178
4.8234,10334.0684,7.614435
4.8734,9187.1172,6.769329
4.9234,7740.3628,5.703319
4.9734,6993.4248,5.152954
5.0234,6940.4878,5.113949
5.0734,6797.7295,5.008760
5.1234,6109.0479,4.501320
5.1734,5255.6201,3.872490
5.2234,4830.8135,3.559481
5.2734,4967.9990,3.660563
5.3234,5251.8027,3.869678
5.3734,5305.1006,3.908949
5.4234,5470.9082,4.031121
5.4734,5955.5444,4.388215
5.5234,6590.8652,4.856337
5.5734,7550.4102,5.563357
5.6234,8511.7900,6.271729
5.6734,9311.2715,6.860810
5.7234,10663.9404,7.857495
5.7734,12316.0625,9.074825
5.8234,13442.6738,9.904944
5.8734,14284.9219,10.525537
5.9234,15262.3174,11.245710
5.9734,16280.0342,11.995592
6.0234,17260.3672,12.717929
6.0734,18021.7852,13.278964
6.1234,18231.9766,13.433839
6.1734,18278.1680,13.467874
6.2234,18600.7832,13.705586
6.2734,18324.5215,13.502029
6.3234,17049.3652,12.562457
6.3734,15869.2266,11.692897
6.4234,15430.8125,11.369862
6.4734,15245.1445,11.233056
6.5234,14262.0801,10.508706
6.5734,12037.8955,8.869864
6.6234,9746.3213,7.181367
6.6734,8634.6221,6.362235
6.7234,8169.5981,6.019592
6.7734,7198.2432,5.303870
6.8234,5721.0049,4.215399
6.8734,4418.2002,3.255456
6.9234,3568.7263,2.629539
6.9734,3144.4314,2.316906
7.0234,2975.7468,2.192615
7.0734,2817.2112,2.075801
7.1234,2871.4299,2.115751
7.1734,3346.9114,2.466099
7.2234,4049.5813,2.983847
7.2734,4796.0747,3.533884
7.3234,5397.5977,3.977103
7.3734,5870.5337,4.325576
7.4234,6635.2197,4.889019
7.4734,7875.8843,5.803176
7.5234,8889.9824,6.550392
7.5734,9232.7139,6.802926
7.6234,9777.6826,7.204475
7.6734,10990.2637,8.097939
