# ABAQUS Dynamic Analysis - Stress History
# ODB: tree_H8m_DBH20cm.odb
# f1=0.4271 Hz  U1_tip_max=0.0000 m  U2_tip_max=0.0000 m
# sigma_max_SM2=53.113 MPa  sigma_max_Mres=54.251 MPa
# DAF_SM2=2.951  DAF_Mres=3.014
time_s,SM1_Nm,SM2_Nm,Mres_Nm,sigma_bending_MPa
0.0000,0.0000,0.0000,0.0000,0.000000
0.0500,-1.5449,-14.3353,14.4183,0.010624
0.1000,3.2883,27.6278,27.8229,0.020501
0.1500,47.6290,444.7350,447.2782,0.329567
0.2000,139.7731,1372.8503,1379.9473,1.016784
0.2500,217.8362,2408.9893,2418.8183,1.782254
0.3000,211.5741,3323.7883,3330.5153,2.454018
0.3500,101.6336,4280.1025,4281.3090,3.154590
0.4000,-65.6343,5395.4028,5395.8020,3.975780
0.4500,-223.1826,6774.8462,6778.5213,4.994607
0.5000,-356.7786,8345.8545,8353.4770,6.155079
0.5500,-481.9196,9824.4062,9836.2190,7.247606
0.6000,-593.2250,11114.2285,11130.0490,8.200937
0.6500,-644.7267,12360.5869,12377.3899,9.120013
0.7000,-604.1384,13674.6562,13687.9950,10.085704
0.7500,-522.5334,14956.9482,14966.0730,11.027428
0.8000,-441.9508,16054.2490,16060.3310,11.833709
0.8500,-319.1456,16941.8066,16944.8124,12.485420
0.9000,-101.9772,17665.1484,17665.4428,13.016401
0.9500,230.2798,18240.1348,18241.5883,13.440921
1.0000,662.7836,18618.5684,18630.3615,13.727380
1.0500,1136.0298,18726.3242,18760.7511,13.823455
1.1000,1616.9763,18563.7402,18634.0297,13.730083
1.1500,2117.4531,18217.7246,18340.3680,13.513705
1.2000,2626.9441,17745.3066,17938.6940,13.217740
1.2500,3118.9727,17120.1367,17401.9272,12.822235
1.3000,3581.1245,16286.3086,16675.3801,12.286894
1.3500,4000.1682,15232.6123,15749.0896,11.604377
1.4000,4345.5991,14049.0400,14705.7729,10.835632
1.4500,4593.5454,12851.4541,13647.7299,10.056036
1.5000,4740.7090,11668.4824,12594.7530,9.280172
1.5500,4785.1421,10480.2041,11520.9489,8.488963
1.6000,4752.1021,9255.6514,10404.3047,7.666188
1.6500,4684.3740,7975.8604,9249.7410,6.815472
1.7000,4570.0493,6713.7085,8121.5290,5.984174
1.7500,4349.8140,5579.9048,7075.0420,5.213092
1.8000,3973.1179,4600.6670,6078.7995,4.479032
1.8500,3433.9172,3759.8303,5091.9654,3.751905
1.9000,2792.7163,3073.9751,4153.1419,3.060153
1.9500,2122.5476,2533.3628,3305.0167,2.435230
2.0000,1431.1600,2102.4238,2543.3059,1.873980
2.0500,676.7894,1814.4448,1936.5572,1.426910
2.1000,-173.2910,1710.6445,1719.3995,1.266902
2.1500,-1101.6180,1797.0336,2107.8169,1.553099
2.2000,-2029.2349,2147.3557,2954.4764,2.176942
2.2500,-2875.6262,2793.8672,4009.3541,2.954206
2.3000,-3656.3982,3627.1809,5150.3096,3.794895
2.3500,-4458.2183,4609.1719,6412.5015,4.724913
2.4000,-5286.8438,5747.3882,7809.1733,5.754021
