# Davenport 1961
time_s,U_ms,u_turbulent_ms,F_drag_N
0.0000,20.3033,0.3033,1514.9203
0.0500,19.7527,-0.2473,1433.8672
0.1000,19.9510,-0.0490,1462.8011
0.1500,18.8744,-1.1256,1309.1918
0.2000,20.3046,0.3046,1515.1172
0.2500,19.7518,-0.2482,1433.7387
0.3000,19.6394,-0.3606,1417.4734
0.3500,19.8851,-0.1149,1453.1620
0.4000,19.5221,-0.4779,1400.5892
0.4500,19.5655,-0.4345,1406.8225
0.5000,18.6823,-1.3177,1282.6729
0.5500,20.3277,0.3277,1518.5628
0.6000,18.1221,-1.8779,1206.9050
0.6500,17.3520,-2.6480,1106.5064
0.7000,18.2222,-1.7778,1220.2839
0.7500,19.1031,-0.8969,1341.1123
0.8000,18.1848,-1.8152,1215.2807
0.8500,17.3481,-2.6519,1106.0147
0.9000,16.3878,-3.6122,986.9585
0.9500,16.3238,-3.6762,979.2686
1.0000,17.0312,-2.9688,1065.9817
1.0500,17.5935,-2.4065,1137.5211
1.1000,17.3034,-2.6966,1100.3194
1.1500,17.8402,-2.1598,1169.6530
1.2000,16.9550,-3.0450,1056.4638
1.2500,17.8536,-2.1464,1171.4041
1.3000,18.5773,-1.4227,1268.3074
1.3500,18.6529,-1.3471,1278.6520
1.4000,19.5153,-0.4847,1399.6099
1.4500,20.0066,0.0066,1470.9640
1.5000,19.6771,-0.3229,1422.9239
1.5500,19.3047,-0.6953,1369.5663
1.6000,19.9195,-0.0805,1458.1970
1.6500,20.0122,0.0122,1471.7987
1.7000,20.1770,0.1770,1496.1326
1.7500,20.9628,0.9628,1614.9427
1.8000,21.8963,1.8963,1761.9735
1.8500,20.5040,0.5040,1545.0237
1.9000,20.6415,0.6415,1565.8173
1.9500,20.7659,0.7659,1584.7389
2.0000,20.2557,0.2557,1507.8214
2.0500,20.9656,0.9656,1615.3651
2.1000,23.2201,3.2201,1981.4635
2.1500,22.0933,2.0933,1793.8147
2.2000,22.6423,2.6423,1884.0681
2.2500,23.5257,3.5257,2033.9627
2.3000,22.0150,2.0150,1781.1250
2.3500,20.0566,0.0566,1478.3318
2.4000,22.1062,2.1062,1795.9123
2.4500,22.3756,2.3756,1839.9568
2.5000,23.0231,3.0231,1947.9850
2.5500,22.8801,2.8801,1923.8658
2.6000,22.1275,2.1275,1799.3733
2.6500,22.0572,2.0572,1787.9684
2.7000,21.5179,1.5179,1701.6019
2.7500,21.9879,1.9879,1776.7370
2.8000,24.1917,4.1917,2150.7433
2.8500,24.9899,4.9899,2295.0283
2.9000,23.7488,3.7488,2072.7121
2.9500,25.2772,5.2772,2348.0967
3.0000,26.1653,6.1653,2515.9976
3.0500,27.6198,7.6198,2803.4883
3.1000,26.4600,6.4600,2572.9824
3.1500,26.0107,6.0107,2486.3381
3.2000,24.9628,4.9628,2290.0502
3.2500,26.0473,6.0473,2493.3441
3.3000,24.3921,4.3921,2186.5321
3.3500,23.4498,3.4498,2020.8528
3.4000,22.1502,2.1502,1803.0766
3.4500,22.7081,2.7081,1895.0349
3.5000,21.9119,1.9119,1764.4832
3.5500,21.4511,1.4511,1691.0436
3.6000,20.9328,0.9328,1610.3122
3.6500,22.8840,2.8840,1924.5130
3.7000,24.4284,4.4284,2193.0512
3.7500,25.1280,5.1280,2320.4585
3.8000,24.7372,4.7372,2248.8468
3.8500,24.9012,4.9012,2278.7638
3.9000,24.6729,4.6729,2237.1695
3.9500,24.3333,4.3333,2176.0056
4.0000,24.9814,4.9814,2293.4585
4.0500,24.4336,4.4336,2193.9745
4.1000,24.7789,4.7789,2256.4241
4.1500,25.0412,5.0412,2304.4529
4.2000,25.7649,5.7649,2439.5742
4.2500,25.4689,5.4689,2383.8344
4.3000,26.3240,6.3240,2546.5963
4.3500,26.3857,6.3857,2558.5622
4.4000,25.5000,5.5000,2389.6681
4.4500,23.8522,3.8522,2090.8022
4.5000,24.7914,4.7914,2258.6972
4.5500,24.9770,4.9770,2292.6531
4.6000,24.3393,4.3393,2177.0742
4.6500,23.2565,3.2565,1987.6699
4.7000,23.7317,3.7317,2069.7440
4.7500,24.1877,4.1877,2150.0419
4.8000,23.0972,3.0972,1960.5379
