# Kaimal 1972 / Eurocode 1
time_s,U_ms,u_turbulent_ms,F_drag_N
0.0000,20.3598,0.3598,1523.3690
0.0500,19.5358,-0.4642,1402.5544
0.1000,19.8394,-0.1606,1446.4928
0.1500,18.2209,-1.7791,1220.1023
0.2000,20.3716,0.3716,1525.1314
0.2500,19.5398,-0.4602,1403.1231
0.3000,19.3750,-0.6250,1379.5653
0.3500,19.7503,-0.2497,1433.5252
0.4000,19.2121,-0.7879,1356.4658
0.4500,19.2899,-0.7101,1367.4654
0.5000,17.9708,-2.0292,1186.8338
0.5500,20.4610,0.4610,1538.5543
0.6000,17.1632,-2.8368,1082.5690
0.6500,16.0231,-3.9769,943.5199
0.7000,17.3354,-2.6646,1104.3944
0.7500,18.6621,-1.3379,1279.9061
0.8000,17.2896,-2.7104,1098.5739
0.8500,16.0445,-3.9555,946.0363
0.9000,14.6053,-5.3947,783.9328
0.9500,14.4993,-5.5007,772.5984
1.0000,15.5378,-4.4622,887.2289
1.0500,16.3509,-3.6491,982.5226
1.1000,15.8780,-4.1220,926.5088
1.1500,16.6475,-3.3525,1018.4831
1.2000,15.2702,-4.7298,856.9315
1.2500,16.5667,-3.4333,1008.6291
1.3000,17.5920,-2.4080,1137.3334
1.3500,17.6397,-2.3603,1143.5120
1.4000,18.8698,-1.1302,1308.5610
1.4500,19.5449,-0.4551,1403.8567
1.5000,18.9917,-1.0083,1325.5129
1.5500,18.3738,-1.6262,1240.6618
1.6000,19.2373,-0.7627,1360.0233
1.6500,19.3122,-0.6878,1370.6303
1.7000,19.4937,-0.5063,1396.5109
1.7500,20.6069,0.6069,1560.5721
1.8000,21.9498,1.9498,1770.5952
1.8500,19.8021,-0.1979,1441.0526
1.9000,19.9575,-0.0425,1463.7589
1.9500,20.0880,0.0880,1482.9641
2.0000,19.2586,-0.7414,1363.0392
2.0500,20.2528,0.2528,1507.3999
2.1000,23.5702,3.5702,2041.6570
2.1500,21.8091,1.8091,1747.9652
2.2000,22.5778,2.5778,1873.3529
2.2500,23.8573,3.8573,2091.6994
2.3000,21.5500,1.5500,1706.6837
2.3500,18.5651,-1.4349,1266.6411
2.4000,21.5943,1.5943,1713.7008
2.4500,21.9360,1.9360,1768.3714
2.5000,22.8526,2.8526,1919.2410
2.5500,22.5869,2.5869,1874.8656
2.6000,21.4086,1.4086,1684.3556
2.6500,21.2546,1.2546,1660.2157
2.7000,20.3852,0.3852,1527.1770
2.7500,21.0184,1.0184,1623.5095
2.8000,24.2487,4.2487,2160.9065
2.8500,25.3721,5.3721,2365.7622
2.9000,23.4350,3.4350,2018.3107
2.9500,25.6653,5.6653,2420.7416
3.0000,26.9322,6.9322,2665.6301
3.0500,29.0708,9.0708,3105.7813
3.1000,27.2990,7.2990,2738.7471
3.1500,26.6170,6.6170,2603.6171
3.2000,25.0393,5.0393,2304.0957
3.2500,26.6787,6.6787,2615.6916
3.3000,24.2062,4.2062,2153.3250
3.3500,22.8154,2.8154,1912.9881
3.4000,20.8787,0.8787,1602.0055
3.4500,21.7275,1.7275,1734.9089
3.5000,20.5298,0.5298,1548.9050
3.5500,19.8282,-0.1718,1444.8567
3.6000,19.0187,-0.9813,1329.2857
3.6500,21.9036,1.9036,1763.1510
3.7000,24.1681,4.1681,2146.5527
3.7500,25.1720,5.1720,2328.5828
3.8000,24.5476,4.5476,2214.5049
3.8500,24.7666,4.7666,2254.1893
3.9000,24.4003,4.4003,2187.9986
3.9500,23.8677,3.8677,2093.5354
4.0000,24.8220,4.8220,2264.2857
4.0500,23.9773,3.9773,2112.7997
4.1000,24.4766,4.4766,2201.7064
4.1500,24.8483,4.8483,2269.0927
4.2000,25.9182,5.9182,2468.6843
4.2500,25.4583,5.4583,2381.8612
4.3000,26.7386,6.7386,2627.4431
4.3500,26.8374,6.8374,2646.9087
4.4000,25.5281,5.5281,2394.9447
4.4500,23.0756,3.0756,1956.8738
4.5000,24.5105,4.5105,2207.8081
4.5500,24.8115,4.8115,2262.3603
4.6000,23.8833,3.8833,2096.2664
4.6500,22.2870,2.2870,1825.4085
4.7000,23.0307,3.0307,1949.2735
4.7500,23.7472,3.7472,2072.4443
4.8000,22.1470,2.1470,1802.5558
4.8500,20.1286,0.1286,1488.9711
4.9000,18.9597,-1.0403,1321.0587
4.9500,18.7075,-1.2925,1286.1431
5.0000,19.4593,-0.5407,1391.5946
5.0500,19.8504,-0.1496,1448.0883
5.1000,19.9614,-0.0386,1464.3253
5.1500,20.3293,0.3293,1518.8095
5.2000,20.2259,0.2259,1503.3917
5.2500,21.7382,1.7382,1736.6188
5.3000,22.5519,2.5519,1869.0596
5.3500,21.7259,1.7259,1734.6586
5.4000,25.2813,5.2813,2348.8609
5.4500,22.7981,2.7981,1910.0878
5.5000,24.8321,4.8321,2266.1275
5.5500,25.9563,5.9563,2475.9649
5.6000,24.7238,4.7238,2246.3997
5.6500,25.1804,5.1804,2330.1373
5.7000,27.7387,7.7387,2827.6694
5.7500,26.6375,6.6375,2607.6112
5.8000,26.9756,6.9756,2674.2265
5.8500,26.7815,6.7815,2635.8859
5.9000,26.3464,6.3464,2550.9349
5.9500,25.4409,5.4409,2378.5974
6.0000,25.4915,5.4915,2388.0763
6.0500,25.8045,5.8045,2447.0720
6.1000,22.7404,2.7404,1900.4295
6.1500,24.5930,4.5930,2222.6970
6.2000,24.9844,4.9844,2294.0085
6.2500,21.7450,1.7450,1737.7094
6.3000,21.1326,1.1326,1641.2003
6.3500,20.4366,0.4366,1534.8832
6.4000,21.8753,1.8753,1758.5871
6.4500,24.3103,4.3103,2171.8896
6.5000,24.2914,4.2914,2168.5210
6.5500,22.4196,2.4196,1847.2027
6.6000,22.3240,2.3240,1831.4810
6.6500,23.5862,3.5862,2044.4306
6.7000,23.6448,3.6448,2054.6066
6.7500,24.3576,4.3576,2180.3552
6.8000,24.4925,4.4925,2204.5750
6.8500,24.8737,4.8737,2273.7245
6.9000,22.8000,2.8000,1910.4076
6.9500,23.8873,3.8873,2096.9624
7.0000,22.7814,2.7814,1907.2888
7.0500,22.1560,2.1560,1804.0077
7.1000,23.0236,3.0236,1948.0597
7.1500,21.7461,1.7461,1737.8740
7.2000,22.7740,2.7740,1906.0628
7.2500,21.6630,1.6630,1724.6272
7.3000,21.1364,1.1364,1641.8013
7.3500,18.6993,-1.3007,1285.0189
7.4000,18.3288,-1.6712,1234.6013
7.4500,19.7803,-0.2197,1437.8853
7.5000,16.7004,-3.2996,1024.9644
7.5500,15.7928,-4.2072,916.5877
7.6000,17.5769,-2.4231,1135.3793
7.6500,19.4322,-0.5678,1387.7133
7.7000,19.2278,-0.7722,1358.6828
7.7500,20.4095,0.4095,1530.8105
7.8000,19.0852,-0.9148,1338.6021
7.8500,19.3170,-0.6830,1371.3084
7.9000,20.5525,0.5525,1552.3364
7.9500,19.4465,-0.5535,1389.7641
8.0000,18.2393,-1.7607,1222.5760
8.0500,18.0381,-1.9619,1195.7481
8.1000,18.8357,-1.1643,1303.8343
8.1500,19.8078,-0.1922,1441.8867
8.2000,20.3533,0.3533,1522.3960
8.2500,18.6903,-1.3097,1283.7807
8.3000,20.1290,0.1290,1489.0299
8.3500,19.1485,-0.8515,1347.4936
8.4000,19.3731,-0.6269,1379.2892
8.4500,20.8603,0.8603,1599.1859
8.5000,23.5003,3.5003,2029.5624
8.5500,21.9651,1.9651,1773.0634
8.6000,22.2468,2.2468,1818.8367
8.6500,24.3804,4.3804,2184.4279
8.7000,23.9768,3.9768,2112.7067
8.7500,22.1419,2.1419,1801.7163
8.8000,19.5542,-0.4458,1405.2045
8.8500,18.0712,-1.9288,1200.1378
8.9000,18.8168,-1.1832,1301.2200
8.9500,19.5746,-0.4254,1408.1328
9.0000,20.0471,0.0471,1476.9254
9.0500,21.0516,1.0516,1628.6484
9.1000,20.8977,0.8977,1604.9248
9.1500,20.8788,0.8788,1602.0204
9.2000,17.8775,-2.1225,1174.5496
9.2500,17.5543,-2.4457,1132.4617
9.3000,16.2121,-3.7879,965.9124
9.3500,16.4503,-3.5497,994.5047
9.4000,16.0094,-3.9906,941.9060
9.4500,14.7639,-5.2361,801.0524
9.5000,15.8245,-4.1755,920.2700
9.5500,19.2216,-0.7784,1357.7990
9.6000,17.7706,-2.2294,1160.5391
9.6500,17.1407,-2.8593,1079.7297
9.7000,17.0385,-2.9615,1066.8885
9.7500,19.3134,-0.6866,1370.7966
9.8000,17.2147,-2.7853,1089.0659
9.8500,15.5886,-4.4114,893.0368
9.9000,16.6017,-3.3983,1012.8854
9.9500,15.9658,-4.0342,936.7827
10.0000,17.9704,-2.0296,1186.7839
10.0500,19.6525,-0.3475,1419.3642
10.1000,20.9665,0.9665,1615.5049
10.1500,21.0768,1.0768,1632.5524
10.2000,19.9659,-0.0341,1464.9907
10.2500,20.0664,0.0664,1479.7811
10.3000,20.4503,0.4503,1536.9408
10.3500,23.4702,3.4702,2024.3794
10.4000,23.8687,3.8687,2093.7039
10.4500,24.2592,4.2592,2162.7610
10.5000,26.4657,6.4657,2574.0855
10.5500,23.8715,3.8715,2094.1877
10.6000,22.4553,2.4553,1853.0850
10.6500,24.9651,4.9651,2290.4644
10.7000,24.2109,4.2109,2154.1590
10.7500,23.5285,3.5285,2034.4475
10.8000,25.1924,5.1924,2332.3669
10.8500,24.5084,4.5084,2207.4372
10.9000,24.0385,4.0385,2123.5996
10.9500,24.2693,4.2693,2164.5687
11.0000,24.7044,4.7044,2242.8758
11.0500,24.7799,4.7799,2256.6044
11.1000,25.5741,5.5741,2403.5747
11.1500,25.6193,5.6193,2412.0794
11.2000,24.9869,4.9869,2294.4719
11.2500,24.0141,4.0141,2119.2792
11.3000,24.6197,4.6197,2227.5335
11.3500,22.4643,2.4643,1854.5763
11.4000,22.3060,2.3060,1828.5278
11.4500,20.5707,0.5707,1555.0958
11.5000,22.2800,2.2800,1824.2640
11.5500,20.7832,0.7832,1587.3844
11.6000,21.0364,1.0364,1626.3016
11.6500,21.1600,1.1600,1645.4623
11.7000,19.0896,-0.9104,1339.2208
