sn,decay_ratio,T_concentric_anchor,T_p5,T_p25,T_p50,T_p75,T_p95,frac_below_5yr,frac_below_10yr,frac_below_30yr,frac_below_100yr
lower,0.3000,53.2000,18.1488,27.3340,35.7355,43.3644,50.1101,0.0000,0.0000,0.3213,1.0000
lower,0.5000,25.5000,2.1271,5.7836,10.5211,16.0377,22.0564,0.2090,0.4752,1.0000,1.0000
lower,0.6000,9.5000,0.3989,1.3934,3.0575,5.2824,7.8445,0.7203,1.0000,1.0000,1.0000
lower,0.7000,1.7000,0.0360,0.1616,0.4243,0.8176,1.3226,1.0000,1.0000,1.0000,1.0000
lower,0.8000,0.1000,0.0013,0.0070,0.0205,0.0426,0.0753,1.0000,1.0000,1.0000,1.0000
mean,0.3000,1569.8000,391.4085,669.5809,947.5219,1213.4326,1456.4478,0.0000,0.0000,0.0000,0.0000
mean,0.5000,336.4000,13.2522,49.3192,108.1257,186.7933,280.3708,0.0030,0.0290,0.1564,0.4717
mean,0.6000,62.0000,1.0024,5.1457,14.4305,29.3942,48.7337,0.2454,0.4020,0.7576,1.0000
mean,0.7000,6.9000,0.0461,0.3258,1.1542,2.7142,5.0300,0.9480,1.0000,1.0000,1.0000
mean,0.8000,0.4000,0.0014,0.0127,0.0518,0.1344,0.2796,1.0000,1.0000,1.0000,1.0000
