decay_ratio,ecc_norm,saf_worst,mattheck,uplift_pct
0.300000,0.000000,1.008166,1.008166,0.000000
0.300000,0.024359,1.009983,1.008166,0.180256
0.300000,0.048718,1.012036,1.008166,0.383840
0.300000,0.073077,1.014325,1.008166,0.610919
0.300000,0.097436,1.016853,1.008166,0.861691
0.300000,0.121795,1.019623,1.008166,1.136389
0.300000,0.146154,1.022636,1.008166,1.435281
0.300000,0.170513,1.025896,1.008166,1.758669
0.300000,0.194872,1.029407,1.008166,2.106891
0.300000,0.219231,1.033172,1.008166,2.480323
0.300000,0.243590,1.037195,1.008166,2.879377
0.300000,0.267949,1.041481,1.008166,3.304509
0.300000,0.292308,1.046035,1.008166,3.756211
0.300000,0.316667,1.050862,1.008166,4.235022
0.300000,0.341026,1.055969,1.008166,4.741524
0.300000,0.365385,1.061360,1.008166,5.276345
0.300000,0.389744,1.067045,1.008166,5.840164
0.300000,0.414103,1.073029,1.008166,6.433710
0.300000,0.438462,1.079320,1.008166,7.057766
0.300000,0.462821,1.085928,1.008166,7.713174
0.300000,0.487179,1.092861,1.008166,8.400835
0.300000,0.511538,1.100128,1.008166,9.121714
0.300000,0.535897,1.107741,1.008166,9.876845
0.300000,0.560256,1.115711,1.008166,10.667332
0.300000,0.584615,1.124048,1.008166,11.494360
0.300000,0.608974,1.132767,1.008166,12.359192
0.300000,0.633333,1.141881,1.008166,13.263180
0.300000,0.657692,1.151404,1.008166,14.207770
0.300000,0.682051,1.161352,1.008166,15.194508
0.300000,0.706410,1.171742,1.008166,16.225050
0.300000,0.730769,1.182591,1.008166,17.301165
0.300000,0.755128,1.193918,1.008166,18.424748
0.300000,0.779487,1.205745,1.008166,19.597830
0.300000,0.803846,1.218092,1.008166,20.822586
0.300000,0.828205,1.230984,1.008166,22.101350
0.300000,0.852564,1.244446,1.008166,23.436626
0.300000,0.876923,1.258505,1.008166,24.831104
0.300000,0.901282,1.273190,1.008166,26.287675
0.300000,0.925641,1.288532,1.008166,27.809451
0.300000,0.950000,1.304565,1.008166,29.399782
0.500000,0.000000,1.066667,1.066667,0.000000
0.500000,0.024359,1.071223,1.066667,0.427170
0.500000,0.048718,1.076236,1.066667,0.897112
0.500000,0.073077,1.081712,1.066667,1.410502
0.500000,0.097436,1.087660,1.066667,1.968131
0.500000,0.121795,1.094090,1.066667,2.570905
0.500000,0.146154,1.101012,1.066667,3.219853
0.500000,0.170513,1.108439,1.066667,3.916128
0.500000,0.194872,1.116384,1.066667,4.661020
0.500000,0.219231,1.124864,1.066667,5.455957
0.500000,0.243590,1.133894,1.066667,6.302518
0.500000,0.267949,1.143493,1.066667,7.202438
0.500000,0.292308,1.153681,1.066667,8.157625
0.500000,0.316667,1.164482,1.066667,9.170166
0.500000,0.341026,1.175918,1.066667,10.242345
0.500000,0.365385,1.188018,1.066667,11.376657
0.500000,0.389744,1.200809,1.066667,12.575824
0.500000,0.414103,1.214323,1.066667,13.842820
0.500000,0.438462,1.228596,1.066667,15.180885
0.500000,0.462821,1.243665,1.066667,16.593558
0.500000,0.487179,1.259570,1.066667,18.084699
0.500000,0.511538,1.276358,1.066667,19.658525
0.500000,0.535897,1.294076,1.066667,21.319646
0.500000,0.560256,1.312780,1.066667,23.073101
0.500000,0.584615,1.332527,1.066667,24.924411
0.500000,0.608974,1.353383,1.066667,26.879628
0.500000,0.633333,1.375418,1.066667,28.945398
0.500000,0.657692,1.398710,1.066667,31.129028
0.500000,0.682051,1.423345,1.066667,33.438566
0.500000,0.706410,1.449418,1.066667,35.882896
0.500000,0.730769,1.477033,1.066667,38.471839
0.500000,0.755128,1.506307,1.066667,41.216279
0.500000,0.779487,1.537369,1.066667,44.128305
0.500000,0.803846,1.570361,1.066667,47.221378
0.500000,0.828205,1.605446,1.066667,50.510527
0.500000,0.852564,1.642801,1.066667,54.012580
0.500000,0.876923,1.682629,1.066667,57.746433
0.500000,0.901282,1.725156,1.066667,61.733380
0.500000,0.925641,1.770640,1.066667,65.997495
0.500000,0.950000,1.819372,1.066667,70.566099
0.700000,0.000000,1.315963,1.315963,0.000000
0.700000,0.024359,1.325560,1.315963,0.729316
0.700000,0.048718,1.335885,1.315963,1.513890
0.700000,0.073077,1.346955,1.315963,2.355130
0.700000,0.097436,1.358792,1.315963,3.254636
0.700000,0.121795,1.371420,1.315963,4.214208
0.700000,0.146154,1.384865,1.315963,5.235860
0.700000,0.170513,1.399156,1.315963,6.321828
0.700000,0.194872,1.414325,1.315963,7.474594
0.700000,0.219231,1.430411,1.315963,8.696896
0.700000,0.243590,1.447450,1.315963,9.991757
0.700000,0.267949,1.465489,1.315963,11.362498
0.700000,0.292308,1.484574,1.315963,12.812775
0.700000,0.316667,1.504759,1.315963,14.346603
0.700000,0.341026,1.526101,1.315963,15.968393
0.700000,0.365385,1.548664,1.315963,17.682994
0.700000,0.389744,1.572519,1.315963,19.495731
0.700000,0.414103,1.597743,1.315963,21.412465
0.700000,0.438462,1.624420,1.315963,23.439648
0.700000,0.462821,1.652644,1.315963,25.584388
0.700000,0.487179,1.682518,1.315963,27.854535
0.700000,0.511538,1.714157,1.315963,30.258762
0.700000,0.535897,1.747686,1.315963,32.806675
0.700000,0.560256,1.783247,1.315963,35.508933
0.700000,0.584615,1.820995,1.315963,38.377384
0.700000,0.608974,1.861103,1.315963,41.425234
0.700000,0.633333,1.903767,1.315963,44.667240
0.700000,0.657692,1.949203,1.315963,48.119933
0.700000,0.682051,1.997656,1.315963,51.801887
0.700000,0.706410,2.049402,1.315963,55.734043
0.700000,0.730769,2.104752,1.315963,59.940083
0.700000,0.755128,2.164060,1.315963,64.446896
0.700000,0.779487,2.227729,1.315963,69.285125
0.700000,0.803846,2.296221,1.315963,74.489841
0.700000,0.828205,2.370067,1.315963,80.101371
0.700000,0.852564,2.449879,1.315963,86.166307
0.700000,0.876923,2.536370,1.315963,92.738767
0.700000,0.901282,2.630372,1.315963,99.881975
0.700000,0.925641,2.732863,1.315963,107.670247
0.700000,0.950000,2.845000,1.315963,116.191530
0.800000,0.000000,1.693767,1.693767,0.000000
0.800000,0.024359,1.708925,1.693767,0.894940
0.800000,0.048718,1.725079,1.693767,1.848656
0.800000,0.073077,1.742258,1.693767,2.862940
0.800000,0.097436,1.760498,1.693767,3.939800
0.800000,0.121795,1.779835,1.693767,5.081476
0.800000,0.146154,1.800313,1.693767,6.290452
0.800000,0.170513,1.821976,1.693767,7.569473
0.800000,0.194872,1.844878,1.693767,8.921572
0.800000,0.219231,1.869073,1.693767,10.350083
0.800000,0.243590,1.894625,1.693767,11.858676
0.800000,0.267949,1.921602,1.693767,13.451384
0.800000,0.292308,1.950079,1.693767,15.132635
0.800000,0.316667,1.980137,1.693767,16.907295
0.800000,0.341026,2.011868,1.693767,18.780709
0.800000,0.365385,2.045372,1.693767,20.758756
0.800000,0.389744,2.080757,1.693767,22.847904
0.800000,0.414103,2.118145,1.693767,25.055280
0.800000,0.438462,2.157668,1.693767,27.388743
0.800000,0.462821,2.199475,1.693767,29.856976
0.800000,0.487179,2.243726,1.693767,32.469588
0.800000,0.511538,2.290604,1.693767,35.237233
0.800000,0.535897,2.340307,1.693767,38.171746
0.800000,0.560256,2.393061,1.693767,41.286308
0.800000,0.584615,2.449113,1.693767,44.595632
0.800000,0.608974,2.508743,1.693767,48.116188
0.800000,0.633333,2.572264,1.693767,51.866462
0.800000,0.657692,2.640028,1.693767,55.867274
0.800000,0.682051,2.712435,1.693767,60.142146
0.800000,0.706410,2.789935,1.693767,64.717750
0.800000,0.730769,2.873043,1.693767,69.624444
0.800000,0.755128,2.962346,1.693767,74.896933
0.800000,0.779487,3.058521,1.693767,80.575059
0.800000,0.803846,3.162344,1.693767,86.704788
0.800000,0.828205,3.274719,1.693767,93.339421
0.800000,0.852564,3.396699,1.693767,100.541120
0.800000,0.876923,3.529519,1.693767,108.382811
0.800000,0.901282,3.674638,1.693767,116.950619
0.800000,0.925641,3.833790,1.693767,126.346988
0.800000,0.950000,4.009057,1.693767,136.694726
